,date,open,high,low,close,volume
0,2022-01-03T15:00:00.000Z,180.47,181.425,180.3,180.96,176244.0
1,2022-01-03T16:00:00.000Z,180.965,181.755,180.4,181.465,109457.0
2,2022-01-03T17:00:00.000Z,181.47,182.16,181.07,181.68,107664.0
3,2022-01-03T18:00:00.000Z,181.725,182.87,181.66,182.36,256132.0
4,2022-01-03T19:00:00.000Z,182.37,182.43,181.67,181.875,97949.0
5,2022-01-03T20:00:00.000Z,181.875,182.195,181.2,181.845,230092.0
6,2022-01-03T21:00:00.000Z,181.8,181.85,181.8,181.85,223.0
7,2022-01-04T15:00:00.000Z,182.295,182.665,180.97,181.02,269958.0
8,2022-01-04T16:00:00.000Z,181.05,181.05,179.5,179.84,357614.0
9,2022-01-04T17:00:00.000Z,179.785,180.36,179.21,179.325,121630.0
10,2022-01-04T18:00:00.000Z,179.32,179.97,179.135,179.43,80542.0
11,2022-01-04T19:00:00.000Z,179.45,180.12,179.29,180.015,155826.0
12,2022-01-04T20:00:00.000Z,180.0,180.47,179.67,179.76,189461.0
13,2022-01-04T21:00:00.000Z,179.76,179.76,179.76,179.76,0.0
14,2022-01-05T15:00:00.000Z,179.29,179.47,177.98,178.725,119060.0
15,2022-01-05T16:00:00.000Z,178.74,179.43,178.53,178.82,81236.0
16,2022-01-05T17:00:00.000Z,178.81,179.235,178.265,178.275,91416.0
17,2022-01-05T18:00:00.000Z,178.345,178.53,177.68,178.025,90795.0
18,2022-01-05T19:00:00.000Z,178.05,178.695,176.12,176.52,179142.0
19,2022-01-05T20:00:00.000Z,176.49,176.815,174.745,174.835,345852.0
20,2022-01-05T21:00:00.000Z,174.835,174.835,174.835,174.835,0.0
21,2022-01-06T15:00:00.000Z,173.96,174.27,172.19,173.515,294022.0
22,2022-01-06T16:00:00.000Z,173.53,174.225,172.765,172.97,179695.0
23,2022-01-06T17:00:00.000Z,172.98,173.655,172.6,172.895,205886.0
24,2022-01-06T18:00:00.000Z,172.895,173.415,172.725,173.375,182291.0
25,2022-01-06T19:00:00.000Z,173.375,173.71,172.765,172.87,132945.0
26,2022-01-06T20:00:00.000Z,172.89,173.365,171.64,172.03,282433.0
27,2022-01-06T21:00:00.000Z,172.03,172.03,172.03,172.03,0.0
28,2022-01-07T15:00:00.000Z,173.71,173.79,171.04,171.43,163922.0
29,2022-01-07T16:00:00.000Z,171.45,172.71,171.06,172.535,87863.0
30,2022-01-07T17:00:00.000Z,172.54,172.61,171.775,172.27,58113.0
31,2022-01-07T18:00:00.000Z,172.29,172.58,172.07,172.29,54121.0
32,2022-01-07T19:00:00.000Z,172.295,173.095,171.88,173.095,92399.0
33,2022-01-07T20:00:00.000Z,173.085,173.68,171.945,172.045,242196.0
34,2022-01-07T21:00:00.000Z,172.045,172.045,172.045,172.045,0.0
35,2022-01-10T15:00:00.000Z,169.45,169.72,168.19,168.7,229439.0
36,2022-01-10T16:00:00.000Z,168.69,170.0,168.49,169.075,137187.0
37,2022-01-10T17:00:00.000Z,169.045,170.135,168.295,169.66,91774.0
38,2022-01-10T18:00:00.000Z,169.65,171.435,169.54,171.16,123183.0
39,2022-01-10T19:00:00.000Z,171.16,171.635,170.37,170.69,111846.0
40,2022-01-10T20:00:00.000Z,170.695,172.49,169.98,172.2,317327.0
41,2022-01-10T21:00:00.000Z,172.2,172.2,172.2,172.2,0.0
42,2022-01-11T15:00:00.000Z,171.605,172.625,170.98,171.53,110297.0
43,2022-01-11T16:00:00.000Z,171.56,174.97,171.52,174.82,168864.0
44,2022-01-11T17:00:00.000Z,174.87,175.005,173.955,174.26,110657.0
45,2022-01-11T18:00:00.000Z,174.255,174.725,173.75,174.48,66609.0
46,2022-01-11T19:00:00.000Z,174.485,175.095,173.98,174.835,141444.0
47,2022-01-11T20:00:00.000Z,174.835,175.175,174.415,174.93,189211.0
48,2022-01-11T21:00:00.000Z,174.93,174.93,174.93,174.93,0.0
49,2022-01-12T15:00:00.000Z,176.34,177.16,175.305,175.64,157239.0
50,2022-01-12T16:00:00.000Z,175.63,176.25,174.85,175.835,107084.0
51,2022-01-12T17:00:00.000Z,175.825,176.37,175.32,176.245,53469.0
52,2022-01-12T18:00:00.000Z,176.245,176.275,175.47,175.55,46216.0
53,2022-01-12T19:00:00.000Z,175.57,175.8,175.225,175.485,63940.0
54,2022-01-12T20:00:00.000Z,175.495,175.94,175.09,175.45,117341.0
55,2022-01-12T21:00:00.000Z,175.45,175.45,175.45,175.45,0.0
56,2022-01-13T15:00:00.000Z,176.04,176.16,174.73,175.435,249828.0
57,2022-01-13T16:00:00.000Z,175.41,175.46,174.535,175.375,139316.0
58,2022-01-13T17:00:00.000Z,175.365,175.53,172.84,173.325,159038.0
59,2022-01-13T18:00:00.000Z,173.29,173.975,173.01,173.88,75623.0
60,2022-01-13T19:00:00.000Z,173.895,174.17,173.16,173.37,89201.0
61,2022-01-13T20:00:00.000Z,173.38,173.515,171.79,172.285,274638.0
62,2022-01-13T21:00:00.000Z,172.54,172.54,172.54,172.54,100.0
63,2022-01-14T15:00:00.000Z,173.36,173.77,171.72,172.34,171998.0
64,2022-01-14T16:00:00.000Z,172.345,172.94,171.26,172.71,120914.0
65,2022-01-14T17:00:00.000Z,172.715,172.9,171.32,171.43,138806.0
66,2022-01-14T18:00:00.000Z,171.43,172.21,171.1,172.055,86424.0
67,2022-01-14T19:00:00.000Z,172.06,172.575,171.79,172.07,79753.0
68,2022-01-14T20:00:00.000Z,172.06,173.26,171.995,173.05,174173.0
69,2022-01-14T21:00:00.000Z,173.05,173.05,173.05,173.05,0.0
70,2022-01-17T15:00:00.000Z,173.05,173.05,173.05,173.05,0.0
71,2022-01-17T16:00:00.000Z,173.05,173.05,173.05,173.05,0.0
72,2022-01-17T17:00:00.000Z,173.05,173.05,173.05,173.05,0.0
73,2022-01-17T18:00:00.000Z,173.05,173.05,173.05,173.05,0.0
74,2022-01-17T19:00:00.000Z,173.05,173.05,173.05,173.05,0.0
75,2022-01-17T20:00:00.000Z,173.05,173.05,173.05,173.05,0.0
76,2022-01-17T21:00:00.000Z,173.05,173.05,173.05,173.05,0.0
77,2022-01-18T15:00:00.000Z,171.09,172.315,170.86,171.09,170382.0
78,2022-01-18T16:00:00.000Z,171.12,171.21,170.21,171.125,102570.0
79,2022-01-18T17:00:00.000Z,171.135,171.27,169.63,169.75,94830.0
80,2022-01-18T18:00:00.000Z,169.755,170.41,169.58,170.33,98109.0
81,2022-01-18T19:00:00.000Z,170.34,170.735,170.01,170.575,108716.0
82,2022-01-18T20:00:00.000Z,170.58,170.77,169.405,169.95,268993.0
